hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1859,0.194136759,0,0,0,0.011630595,0,0,0,0,0,0.418822473,0,0.002968213,0.053002237,0,0.297283982
1860,0.161634486,0,0,0,0,0,0,0,0,0,0.312786942,0,0,0.008861647,0,0.124329413
1861,0.125365914,0,0,0,0,0,0,0,0,0,0.296369132,0,0,0,0,0.005602116
1862,0.108753862,0,0,0,0,0,0,0,0,0,0.429933391,0,0,0,0,0
1863,0.097543368,0,0,0,0,0,0,0,0,0,0.655397191,0,0,0,0,0
1864,0.089221096,0,0,0,0,0,0,0,0,0,0.573957994,0,0,0,0,0
1865,0.145738905,0,0,0,0,0,0,0,0,0,0.466113434,0,0,0,0,0
1866,0.256413407,0,0,0,0,0,0,0,0,0,0.436100107,0,0,0,0,0
1867,0.284535939,0,0,0,0,0,0,0,0,0,0.407942649,0,0,0,0,0.123317485
1868,0.290616872,0,0,0,0,0,0,0,0,0,0.419461783,0,0,0,0,0.123317485
1869,0.304352444,0.059664639,0,0,0.061658742,0,0,0,0,0,0.418270197,0,0,0,0,0.154084006
1870,0.312220693,0.123028361,0,0,0.146838931,0,0,0,0,0.001394238,0.423228553,0,0.123317485,0.012209134,0,0.218881734
1871,0.333437059,0.128950822,0,0,0.200651835,0,0,0,0,0.053675438,0.475389461,0,0.171598544,0.137679461,0,0.350755885
1872,0.362031479,0.204872237,0,0.01558242,0.252206077,0.034798222,0.000296671,0,0,0.138050028,0.508624317,0.004025692,0.263005792,0.240821873,0,0.485112163
1873,0.393005371,0.29545828,0.031409702,0.148169408,0.298014676,0.08277317,0.033977683,0.027207133,0.006186643,0.191570208,0.515713438,0.123080139,0.327313641,0.2861155,0,0.622755596
1874,0.406462613,0.345324333,0.107689503,0.271987804,0.326822858,0.127815935,0.087220199,0.099166745,0.06195204,0.220723315,0.524282413,0.251074593,0.380286095,0.334617462,0.018669352,0.818652456
1875,0.415716691,0.381465555,0.163478278,0.326412515,0.30149258,0.162551185,0.138859553,0.253532782,0.130418378,0.22431623,0.525126678,0.30617454,0.432528287,0.382446369,0.07691412,1.151760948
1876,0.441580926,0.431340447,0.229291767,0.37610693,0.368506314,0.188422095,0.148032517,0.323839827,0.16462877,0.248958319,0.522692931,0.35882879,0.683341089,0.415092878,0.139384703,1.446314604
1877,0.458521553,0.708114453,0.246546074,0.428637584,0.385535953,0.208345035,0.234629218,0.347573596,0.253354237,0.269047285,0.510403897,0.399522082,0.775174709,0.427551294,0.23816128,1.709219284
1878,0.466255582,0.549481439,0.231140306,0.414304381,0.368149308,0.21652221,0.360167943,0.357785021,0.342538684,0.247920729,0.503776987,0.423251192,0.765773491,0.429316489,0.271131687,1.914546328
