hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,
285,2.157055,2.15427,2.253105,2.216581,2.245453,0,0,0,0,0,2.274613,2.276598,2.25194,2.282253,0,1.71878,,
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
290,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0,0,0,,
291,0,0,0,0,0,1.108181,0,0,0,0,0,0,0,0,0,0,,
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
293,2.299425,2.330739,2.291773,2.288014,2.330555,1.981657,3.75,3.75,3.75,3.75,2.271081,2.289857,2.255019,2.375794,3.579337,2.704464,,
294,0,0,0,0,0,0,0.220754,0.220378,0.281377,0.305823,0,0,0,0,0,0,,
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
297,2.4,1.05,1.05,1.05,1.05,0.975,0.975,0.975,0.975,0.975,1.05,1.05,1.05,2.000554,0.825,3.014317,,
298,0.867415,2.157918,2.101576,2.115165,2.206751,1.957489,1.818451,1.833076,1.8867,1.9172,2.092361,2.098976,2.051449,0.15,1.629882,0.940264,,
299,0,0,0,0,0,0,0,0,0,0,0,0,0,2.092239,0,0,,
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
304,2.924675,2.754862,2.689573,2.664886,2.718639,2.467547,2.377317,2.382388,2.423223,2.441795,2.701102,2.714096,2.676952,2.193023,0,3.391336,,
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24734,0,,
307,2.374511,2.283288,2.223283,2.182249,2.220697,2.042058,1.963996,1.946707,1.982636,1.994557,2.23416,2.251221,2.217662,2.232915,0,2.531686,,
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.982289,0,,
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
320,2.892446,2.802848,2.73853,2.691173,2.739261,2.504273,2.423481,2.43764,2.454036,2.471371,2.762459,2.768271,2.733082,2.795977,0,3.12126,,
321,2.775,2.7,2.7,2.7,2.7,2.7,2.625,2.625,2.625,2.7,2.7,2.7,2.7,2.7,3,2.775,,
322,1.27991,1.193136,1.105857,1.055678,1.12986,0.785689,0.730096,0.738385,0.782358,0.733217,1.128054,1.129716,1.079728,1.199951,1.621153,1.709793,,
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
