hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0.270137,0.254148,0.26774,0.272122,0.271579,0.282438,0.282435,0.279271,0.274094,0.282766,3.133299,0.256196,0.268602,4.05,0.265004,3.75
201,0.327041,0.335172,0.327096,0.325711,0.32249,0.331905,0.341835,0.334277,0.33416,0.331838,0,0.338058,0.327521,0.067928,0.371253,0.106636
202,0.355349,0.359891,0.353577,0.352488,0.34677,0.35966,0.372367,0.360591,0.360079,0.358714,0,0.362183,0.352725,0,0.339394,0
203,0.382297,0.382994,0.379425,0.381213,0.37268,0.390996,0.395138,0.386895,0.388142,0.387427,0,0.384872,0.377712,0,0,0
204,0.377599,0.377579,0.377922,0.384014,0.374707,0.397214,0,0.39115,0.393032,0.393224,0,0.116875,0.377809,0.200977,0,1.959135
205,0.367963,0.321551,0.359925,0.288319,0.398055,0.134008,0,0.174701,0.157407,0.167147,0,0,0.353499,0.370611,0,0
206,0,0,0,0,0.004964,0,0,0,0,0,0,0,0,0.248444,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0.305884,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0.381222,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0.158146,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0.08785,0,0,0,0,0.281216,0,0,0,0
214,0,0,0,0,0,0,0.383237,0,0,0,0,0.375472,0,0,0.052321,0
215,0,0,0,0,0,0,0.22302,0,0,0,0,0.325946,0,0,0.377818,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264343,0
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.232656
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0.100118,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
222,0.19136,0.371721,0.150268,0,0,0,0,0,0,0,0,0,0,0.862678,0,0
223,0.379131,0.363805,0.383376,0.321639,0.318557,0.236623,0,0.132563,0.059712,0.095509,0,0,0.363566,0,0,0
224,0.259102,0,0.213034,0.389236,0.38368,0.388196,0,0.382547,0.377818,0.376978,0,0,0.3874,0,0,0
225,0,0,0,0.192702,0.2642,0.213245,0,0.291232,0.349968,0.363424,0.040215,0,0.204462,0,0,0
